GeneId,Alias,WT,WTMinus,PYE,PPL,V-EN,C-EN-V,EP-C,EP
AT5G04370,NAMT1,0.7287387,0.8920839,0.3724497,0.8809979,0.479887,0.2568618,0.173784,0.15069
AT5G05890,unknown,14.35736,15.86413,11.46648,14.21525,12.48449,10.1503,9.710737,10.79676
AT5G08180,unknown,41.04667,43.98095,62.33943,56.79598,62.82693,74.47272,65.01165,62.457
AT5G08360,unknown,3.206364,2.245918,3.555587,2.506893,3.276326,3.984818,2.696299,3.374832
AT5G10660,unknown,0.1596046,0.1353968,0.4934369,0.3936085,0.3250304,0.6004806,0.4493961,0.6031809
AT5G11100,"ATSYTD, NTMC2T2.2, NTMC2TYPE2.2, SYT4, SYTD",3.666201,2.869758,4.241061,2.956386,3.312931,4.331678,4.772445,4.02084
AT5G11630,NOXY2,12.46618,14.13434,19.08846,18.51945,18.77434,22.26907,21.39124,20.13625
AT5G12900,unknown,7.617854,8.063653,12.09382,9.659371,11.93452,12.36276,12.97745,11.62637
AT5G13140,unknown,1.014407,0.8391358,0.9116728,1.213114,1.373778,1.823701,1.810027,2.049431
AT5G15510,unknown,3.869578,3.673772,2.62348,3.37815,3.216278,2.053477,2.122034,2.679483
AT5G15750,unknown,15.98796,18.29302,26.49188,21.00956,21.93681,28.10626,26.71221,24.35088
AT5G16453,unknown,0.3495787,0.3609739,1.616475,0.322209,1.297653,1.615439,0.8520052,0.9592374
AT5G16910,"ATCSLD2, CSLD2",36.21657,37.76988,28.84404,36.0546,27.79531,24.49279,29.09288,32.79225
AT5G17810,WOX12,0.8983563,1.149167,1.595738,0.7660844,1.295834,2.046651,2.076056,1.330934
AT5G18570,"ATOBGC, ATOBGL, CPSAR1, EMB269, EMB3138",3.618225,2.638461,3.772219,3.535052,3.144862,4.10768,3.075539,3.588261
AT5G18660,PCB2,1.234548,0.7408294,1.114397,0.6601612,1.078815,1.698254,1.189767,1.022888
AT5G19290,unknown,16.75955,21.37313,27.57368,25.40513,30.32084,34.47224,30.68422,35.29464
AT5G21050,unknown,2.059054,1.16544,0.6870905,1.169354,0.7444102,0.5124191,0.5019975,0.8613219
AT5G23820,unknown,69.04422,93.73348,44.03366,78.77711,117.1249,31.55273,26.57298,38.30733
AT5G23830,unknown,104.8276,105.5182,86.09838,94.6001,134.0114,63.80063,67.56754,87.57537
AT5G24080,unknown,0.1347945,0.03669927,0.4363864,0.1530772,0.3962303,0.5629665,0.2655479,0.484717
AT5G24780,"ATVSP1, VSP1",19.37957,12.38464,2.900813,9.458943,8.329579,4.627545,3.80356,1.740924
AT5G26731,unknown,8.93039,5.388743,7.192692,4.475641,6.61164,8.466919,8.715674,8.800316
AT5G27120,unknown,31.82466,35.63005,52.48745,43.71087,44.55863,54.47941,52.30997,52.31302
AT5G27660,DEG14,4.923104,6.949333,10.79181,9.449247,11.71646,15.66383,11.28218,10.52897
AT5G36130,unknown,4.350322,5.436563,1.918285,3.194778,2.89937,1.779888,1.844404,0.7847086
AT5G38060,unknown,3.206168,2.551327,1.579126,2.291362,1.437265,0.955108,1.420291,1.642653
AT5G38850,unknown,5.494033,5.368305,4.418498,4.967116,3.686737,3.487603,3.508185,4.157609
AT5G39660,CDF2,18.25951,17.45687,12.79493,16.23593,13.77323,10.30109,13.04511,14.42563
AT5G40090,unknown,4.452189,3.474961,2.725816,3.777651,2.784766,2.298725,2.237594,2.885083
AT5G40210,UMAMIT42,1.344724,1.534016,0.8293621,0.9867674,1.557311,0.6341871,0.9995048,0.9860483
AT5G40770,"ATPHB3, EER3, PHB3",47.39011,69.22076,96.09248,81.89737,93.8086,103.9436,100.971,97.8559
AT5G40980,unknown,14.66171,21.95487,27.78771,29.60067,29.91738,36.45155,33.80791,27.1878
AT5G41010,"NRPB12, NRPD12, NRPE12",69.69236,94.18008,123.4044,103.8516,129.0597,147.4167,125.4511,133.1969
AT5G41765,unknown,0.7986081,1.095184,2.027332,1.855183,2.333024,3.304872,2.33398,1.628126
AT5G43065,unknown,0,0.02581909,0.08472416,0.02449192,0.0965155,0.311775,0.1289166,0.166877
AT5G44010,unknown,1.225229,1.073395,1.911488,1.619719,1.410018,2.114674,2.020287,1.970915
AT5G44050,unknown,1.240368,1.745222,1.514867,2.114743,2.021852,0.838936,0.5742546,1.105721
AT5G44925,unknown,0.01988589,0.0279644,0.05775626,0.3436421,0.08040221,0.4122987,0.1351687,1.533107
AT5G45500,unknown,62.31137,88.71142,62.21936,84.08443,63.69949,57.94657,53.86155,59.60735
AT5G45720,unknown,1.475056,1.869062,2.566972,2.339469,2.704081,2.966935,2.272921,2.564393
AT5G46530,unknown,14.47081,8.61845,5.774888,7.012577,7.447114,5.028391,5.734217,5.071844
AT5G47455,unknown,7.641651,7.81305,10.09612,9.396023,9.757375,11.78313,11.02723,9.906196
AT5G47635,unknown,5.366665,7.401971,10.80915,7.661871,9.504022,15.22416,12.69195,12.13506
AT5G48740,unknown,1.1136,1.231266,2.011801,1.03835,1.531143,2.155679,2.857216,1.671681
AT5G51390,unknown,18.43605,12.24592,9.123208,11.64456,8.478212,5.137717,4.572063,6.056523
AT5G52450,unknown,10.84465,10.96564,9.38819,10.24999,8.486346,6.865825,5.474775,6.689706
AT5G55520,unknown,2.211699,2.059686,1.395235,1.507124,1.478407,1.249673,1.29432,1.442213
AT5G55830,unknown,0.9816623,0.9149294,0.5690303,0.9641133,0.5116856,0.3428293,0.3051993,0.5536205
AT5G56550,"ATOXS3, OXS3",23.57896,20.25227,12.35167,18.70425,18.15457,12.02457,14.17481,13.42362
AT5G57280,RID2,11.83993,12.33532,18.40672,14.40305,14.52724,18.78798,17.90921,18.04904
AT5G59450,unknown,23.4602,20.51247,29.09619,18.08895,28.89908,31.52337,31.11394,31.76318
AT5G59845,unknown,4.915267,2.977067,3.496819,2.975223,3.882535,6.13694,6.502778,5.591815
AT5G60460,unknown,71.58949,52.47916,35.35261,48.21092,38.90812,34.86675,31.7818,42.48244
AT5G61600,ERF104,119.7693,108.5545,78.82059,97.6463,73.80326,69.7316,65.79192,76.73024
AT5G62550,unknown,9.461332,6.158143,4.732407,6.838034,5.52103,4.008811,4.628066,4.88721
AT5G66230,unknown,5.61412,4.69733,3.412076,5.644916,4.248048,2.857143,3.096515,4.120489
AT5G67270,"ATEB1C, ATEB1H1, EB1C",6.406466,5.690678,3.818477,4.911645,4.360284,2.833213,3.024238,3.629909
ATCG00490,RBCL,0.7577245,0.414726,0.6337413,0.3946073,0.2680148,1.303216,0.2904071,0.5830341
ATMG01360,COX1,0.6413068,0.8855351,1.273298,0.9323877,1.301904,2.164949,1.002424,1.531363
AT1G01670,unknown,2.527760096,1.823093359,1.656851293,1.539279558,1.207482502,1.145701478,0.787554693,1.326520168
AT1G01900,"ATSBT1.1, SBTI1.1",2.050205567,1.645482656,2.318505415,1.254223453,2.245446389,2.009663135,3.557594646,3.007647976
AT1G02030,unknown,1.084035996,0.951660716,1.073445076,1.042682357,1.018460296,1.20324535,1.762178542,1.778573215
AT1G03440,unknown,7.041622019,4.431558392,6.590229987,4.89820285,5.41348414,6.360207736,7.438841231,7.39599407
AT1G03600,PSB27,4.585509171,4.465118439,3.279675267,3.191614758,2.088895514,4.942004898,1.6008773,1.106047633
AT1G03700,unknown,10.22483857,15.16388571,18.96909139,15.21507892,11.09441939,19.86158912,9.610139701,11.28579436
AT1G04500,unknown,0,0.044725014,0.2801105,0.049255349,0.228928732,0.512669188,0.869862412,0.570405895
AT1G04520,PDLP2,4.640974978,5.712508188,6.598244226,8.334430921,8.310509571,8.122513615,9.389728865,8.80703543
AT1G04550,"BDL, IAA12",20.11028592,14.97111698,22.14707844,15.18964896,18.90809347,22.27434481,23.49222151,22.22383005
AT1G04590,unknown,10.15007122,10.81760961,14.66541022,12.82025257,13.21172796,14.46949085,16.64062356,16.14175735
AT1G05210,unknown,9.005162643,6.740066207,4.852266613,6.816896646,4.611574225,5.16532437,4.158302037,5.935595704
AT1G05960,unknown,33.16982963,28.78433916,21.03111666,26.64060242,21.10875461,19.90196664,19.00584159,19.88794189
AT1G06180,"ATMYB13, ATMYBLFGN, MYB13",3.480244018,5.386403382,3.652672521,5.625455179,4.900489486,4.658321124,2.759112081,3.701045047
AT1G06680,"OE23, OEE2, PSBP-1, PSII-P",18.18154413,12.17926044,4.994827587,5.307351026,1.858103079,13.0755031,1.07564721,1.319725735
AT1G07240,UGT71C5,42.99429524,29.77258088,27.78590952,29.73332821,22.19151194,23.84050913,19.15524633,24.12664556
AT1G07300,unknown,21.1826808,15.23615771,11.64901604,17.64290751,11.92593473,11.62366902,9.776452802,11.27044572
AT1G08210,unknown,14.13155454,11.62973146,10.23998981,11.84034643,9.346476615,8.959706296,7.297305402,8.758389245
AT1G08630,THA1,1.253757586,1.221552472,0.631443397,0.591730604,0.666921374,0.772806154,0.328715632,0.375924792
AT1G08920,ESL1,28.52670913,28.97398392,32.01598333,27.5591891,25.63692939,21.99664503,14.59235079,20.44904857
AT1G09340,"CRB, CSP41B, HIP1.3",6.081894896,3.46318616,2.547770753,2.227950702,1.489875436,4.015220741,1.038166174,1.308940357
AT1G09812,unknown,1.229999414,1.995869391,3.419663466,1.778289642,3.274772688,2.575154708,5.898294389,4.122249444
AT1G09970,"LRR XI-23, RLK7",217.802389,230.41557,227.6499593,219.1760913,171.8293483,176.334973,143.9995285,169.7141129
AT1G10200,WLIM1,122.6723883,87.58291225,66.26358691,93.18401844,69.46728525,75.50300107,56.22049695,56.55868618
AT1G10380,unknown,28.06392902,29.52790335,20.29418762,23.73302636,23.23936841,21.78057752,17.27604517,18.57366779
AT1G10550,"XET, XTH33",1.977870644,2.286264871,2.104515938,3.113181336,1.346550584,1.660649517,1.106181419,1.401196951
AT1G10700,PRS3,18.52318526,19.58781565,20.62031243,19.81187331,14.17639605,14.89646421,12.76563032,15.29978223
